score_num,ranking,score,movie_name
9.6,1,9.6,肖申克的救赎
9.6,2,9.6,霸王别姬
9.4,3,9.4,这个杀手不太冷
9.4,4,9.4,阿甘正传
9.5,5,9.5,美丽人生
9.3,6,9.3,泰坦尼克号
9.3,7,9.3,千与千寻
9.5,8,9.5,辛德勒的名单
9.3,9,9.3,盗梦空间
9.3,10,9.3,忠犬八公的故事
9.3,11,9.3,机器人总动员
9.2,12,9.2,三傻大闹宝莱坞
9.2,13,9.2,海上钢琴师
9.3,14,9.3,放牛班的春天
9.2,15,9.2,楚门的世界
9.2,16,9.2,大话西游之大圣娶亲
9.2,17,9.2,星际穿越
9.2,18,9.2,龙猫
9.3,19,9.3,教父
9.3,20,9.3,熔炉
9.2,21,9.2,无间道
9.2,22,9.2,疯狂动物城
9.0,23,9.0,当幸福来敲门
9.0,24,9.0,怦然心动
9.2,25,9.2,触不可及
9.1,26,9.1,蝙蝠侠：黑暗骑士
9.2,27,9.2,乱世佳人
9.2,28,9.2,活着
9.6,29,9.6,控方证人
9.0,30,9.0,少年派的奇幻漂流
9.2,31,9.2,指环王3：王者无敌
9.2,32,9.2,天堂电影院
9.2,33,9.2,鬼子来了
9.1,34,9.1,天空之城
9.4,35,9.4,十二怒汉
9.0,36,9.0,摔跤吧！爸爸
9.0,37,9.0,飞屋环游记
9.0,38,9.0,大话西游之月光宝盒
9.0,39,9.0,哈尔的移动城堡
9.0,40,9.0,搏击俱乐部
9.0,41,9.0,罗马假日
9.0,42,9.0,闻香识女人
9.2,43,9.2,末代皇帝
9.2,44,9.2,辩护人
9.1,45,9.1,窃听风暴
9.0,46,9.0,寻梦环游记
9.2,47,9.2,素媛
9.1,48,9.1,两杆大烟枪
9.0,49,9.0,死亡诗社
9.1,50,9.1,飞越疯人院
9.0,51,9.0,指环王2：双塔奇兵
9.2,52,9.2,教父2
8.9,53,8.9,V字仇杀队
9.0,54,9.0,指环王1：魔戒再现
9.0,55,9.0,狮子王
9.0,56,9.0,美丽心灵
9.1,57,9.1,饮食男女
9.3,58,9.3,海豚湾
8.9,59,8.9,情书
9.1,60,9.1,钢琴家
8.8,61,8.8,本杰明·巴顿奇事
8.8,62,8.8,看不见的客人
8.9,63,8.9,黑客帝国
9.1,64,9.1,美国往事
8.9,65,8.9,哈利·波特与魔法石
8.8,66,8.8,西西里的美丽传说
9.3,67,9.3,大闹天宫
9.2,68,9.2,小鞋子
9.0,69,9.0,拯救大兵瑞恩
8.8,70,8.8,让子弹飞
8.8,71,8.8,致命魔术
8.8,72,8.8,七宗罪
9.0,73,9.0,音乐之声
8.9,74,8.9,被嫌弃的松子的一生
8.8,75,8.8,低俗小说
8.9,76,8.9,猫鼠游戏
8.8,77,8.8,沉默的羔羊
8.7,78,8.7,天使爱美丽
8.8,79,8.8,蝴蝶效应
8.9,80,8.9,勇敢的心
8.9,81,8.9,春光乍泄
8.7,82,8.7,剪刀手爱德华
8.8,83,8.8,心灵捕手
9.0,84,9.0,穿条纹睡衣的男孩
8.7,85,8.7,禁闭岛
8.8,86,8.8,布达佩斯大饭店
8.8,87,8.8,入殓师
8.7,88,8.7,阿凡达
8.9,89,8.9,幽灵公主
8.8,90,8.8,阳光灿烂的日子
8.7,91,8.7,致命ID
8.7,92,8.7,加勒比海盗
9.2,93,9.2,摩登时代
8.8,94,8.8,第六感
8.7,95,8.7,断背山
8.7,96,8.7,重庆森林
9.1,97,9.1,狩猎
8.9,98,8.9,玛丽和马克思
8.7,99,8.7,喜剧之王
8.7,100,8.7,告白
8.7,101,8.7,消失的爱人
8.8,102,8.8,大鱼
9.0,103,9.0,一一
8.8,104,8.8,阳光姐妹淘
8.7,105,8.7,射雕英雄传之东成西就
9.0,106,9.0,小森林 夏秋篇
8.8,107,8.8,爱在黎明破晓前
8.8,108,8.8,甜蜜蜜
8.8,109,8.8,请以你的名字呼唤我
8.8,110,8.8,侧耳倾听
8.7,111,8.7,驯龙高手
8.9,112,8.9,红辣椒
8.7,113,8.7,倩女幽魂
8.7,114,8.7,恐怖直播
8.8,115,8.8,超脱
8.8,116,8.8,风之谷
8.8,117,8.8,爱在日落黄昏时
9.0,118,9.0,何以为家
8.8,119,8.8,菊次郎的夏天
8.9,120,8.9,上帝之城
9.0,121,9.0,小森林 冬春篇
8.7,122,8.7,哈利·波特与死亡圣器(下)
8.7,123,8.7,幸福终点站
8.7,124,8.7,杀人回忆
8.8,125,8.8,7号房的礼物
8.7,126,8.7,借东西的小人阿莉埃蒂
8.7,127,8.7,蝙蝠侠：黑暗骑士崛起
8.5,128,8.5,神偷奶爸
8.8,129,8.8,萤火之森
8.5,130,8.5,唐伯虎点秋香
8.6,131,8.6,超能陆战队
8.6,132,8.6,怪兽电力公司
9.1,133,9.1,无人知晓
8.7,134,8.7,岁月神偷
8.7,135,8.7,电锯惊魂
9.2,136,9.2,七武士
8.8,137,8.8,谍影重重3
8.7,138,8.7,疯狂原始人
8.6,139,8.6,真爱至上
8.9,140,8.9,喜宴
8.7,141,8.7,英雄本色
8.7,142,8.7,血战钢锯岭
8.6,143,8.6,东邪西毒
8.7,144,8.7,萤火虫之墓
8.5,145,8.5,贫民窟的百万富翁
8.5,146,8.5,黑天鹅
8.5,147,8.5,傲慢与偏见
8.6,148,8.6,记忆碎片
8.7,149,8.7,时空恋旅人
9.1,150,9.1,海蒂和爷爷
8.7,151,8.7,心迷宫
8.8,152,8.8,纵横四海
8.8,153,8.8,荒蛮故事
8.8,154,8.8,教父3
8.7,155,8.7,雨人
9.1,156,9.1,完美的世界
8.7,157,8.7,达拉斯买家俱乐部
8.8,158,8.8,玩具总动员3
8.6,159,8.6,花样年华
8.9,160,8.9,卢旺达饭店
8.7,161,8.7,三块广告牌
8.6,162,8.6,被解救的姜戈
8.6,163,8.6,海边的曼彻斯特
8.5,164,8.5,恋恋笔记本
8.8,165,8.8,你看起来好像很好吃
8.4,166,8.4,你的名字。
8.9,167,8.9,虎口脱险
9.0,168,9.0,海洋
8.7,169,8.7,头脑特工队
8.7,170,8.7,二十二
8.9,171,8.9,我是山姆
8.7,172,8.7,无敌破坏王
8.5,173,8.5,冰川时代
9.0,174,9.0,雨中曲
8.8,175,8.8,燃情岁月
8.6,176,8.6,爆裂鼓手
8.9,177,8.9,未麻的部屋
8.6,178,8.6,人工智能
8.6,179,8.6,模仿游戏
8.8,180,8.8,一个叫欧维的男人决定去死
8.6,181,8.6,穿越时空的少女
9.1,182,9.1,忠犬八公物语
8.8,183,8.8,房间
8.8,184,8.8,魂断蓝桥
8.6,185,8.6,魔女宅急便
8.5,186,8.5,猜火车
8.4,187,8.4,恐怖游轮
8.5,188,8.5,完美陌生人
8.7,189,8.7,罗生门
8.9,190,8.9,哪吒闹海
8.7,191,8.7,海街日记
8.6,192,8.6,黑客帝国3：矩阵革命
8.5,193,8.5,阿飞正传
8.5,194,8.5,香水
9.1,195,9.1,天书奇谭
8.5,196,8.5,朗读者
8.7,197,8.7,浪潮
8.7,198,8.7,可可西里
8.6,199,8.6,谍影重重2
8.8,200,8.8,牯岭街少年杀人事件
8.5,201,8.5,谍影重重
8.6,202,8.6,战争之王
8.9,203,8.9,地球上的星星
8.9,204,8.9,惊魂记
8.4,205,8.4,疯狂的石头
8.5,206,8.5,青蛇
8.3,207,8.3,初恋这件小事
8.6,208,8.6,终结者2：审判日
8.4,209,8.4,源代码
8.8,210,8.8,步履不停
8.7,211,8.7,一次别离
8.5,212,8.5,新龙门客栈
8.9,213,8.9,追随
8.5,214,8.5,小萝莉的猴神大叔
8.8,215,8.8,爱在午夜降临前
8.5,216,8.5,再次出发之纽约遇见你
8.6,217,8.6,撞车
8.5,218,8.5,无耻混蛋
8.3,219,8.3,功夫
8.7,220,8.7,梦之安魂曲
9.3,221,9.3,城市之光
9.2,222,9.2,东京物语
8.5,223,8.5,彗星来的那一夜
8.6,224,8.6,奇迹男孩
8.7,225,8.7,绿里奇迹
8.6,226,8.6,血钻
8.7,227,8.7,2001太空漫游
8.8,228,8.8,聚焦
8.5,229,8.5,这个男人来自地球
8.5,230,8.5,E.T. 外星人
8.7,231,8.7,末路狂花
8.5,232,8.5,发条橙
8.6,233,8.6,疯狂的麦克斯4：狂暴之路
8.6,234,8.6,黑鹰坠落
8.4,235,8.4,变脸
8.7,236,8.7,头号玩家
8.6,237,8.6,勇闯夺命岛
9.1,238,9.1,黄金三镖客
9.0,239,9.0,我爱你
8.4,240,8.4,国王的演讲
8.3,241,8.3,秒速5厘米
8.6,242,8.6,非常嫌疑犯
8.6,243,8.6,遗愿清单
8.7,244,8.7,千钧一发
8.6,245,8.6,卡萨布兰卡
8.4,246,8.4,釜山行
8.7,247,8.7,新世界
8.3,248,8.3,驴得水
8.9,249,8.9,四个春天
8.5,250,8.5,美国丽人
